side,price,size,time
buy,9170.51,0.01,2018-04-24T03:52:17.202Z
buy,9191.16,0.0015,2018-04-24T03:52:17.210Z
buy,9059.5,0.0,2018-04-24T03:52:17.241Z
sell,9208.43,0.0,2018-04-24T03:52:17.258Z
buy,9157.99,0.0015,2018-04-24T03:52:17.267Z
buy,9192.0,7.58040715,2018-04-24T03:52:17.290Z
buy,9157.99,0.0,2018-04-24T03:52:17.337Z
buy,9191.16,0.0,2018-04-24T03:52:17.359Z
buy,9125.02,0.0015,2018-04-24T03:52:17.373Z
buy,9092.5,0.0,2018-04-24T03:52:17.382Z
buy,9059.5,0.0015,2018-04-24T03:52:17.389Z
sell,9205.14,9.2564,2018-04-24T03:52:17.424Z
buy,9125.02,0.0,2018-04-24T03:52:17.427Z
buy,9191.16,0.0015,2018-04-24T03:52:17.468Z
buy,9190.0,3.51374836,2018-04-24T03:52:17.479Z
buy,9059.5,0.0,2018-04-24T03:52:17.481Z
buy,9191.16,0.0,2018-04-24T03:52:17.517Z
buy,9157.99,0.0015,2018-04-24T03:52:17.520Z
buy,9125.02,0.0015,2018-04-24T03:52:17.522Z
buy,9157.99,0.0,2018-04-24T03:52:17.594Z
buy,9125.02,0.0,2018-04-24T03:52:17.617Z
buy,9092.5,0.0015,2018-04-24T03:52:17.626Z
buy,9059.5,0.0015,2018-04-24T03:52:17.629Z
sell,9218.18,0.051,2018-04-24T03:52:17.676Z
buy,9059.5,0.0,2018-04-24T03:52:17.711Z
buy,9157.99,0.0015,2018-04-24T03:52:17.769Z
buy,9191.16,0.0015,2018-04-24T03:52:17.770Z
buy,9190.0,3.51509836,2018-04-24T03:52:17.852Z
buy,9191.16,0.0,2018-04-24T03:52:17.911Z
sell,9195.01,2.0040781,2018-04-24T03:52:17.912Z
buy,9157.99,0.0,2018-04-24T03:52:17.916Z
sell,9192.01,4.64357394,2018-04-24T03:52:17.920Z
buy,9125.02,0.0015,2018-04-24T03:52:17.924Z
sell,9196.01,2.06206322,2018-04-24T03:52:17.938Z
buy,9092.5,0.0,2018-04-24T03:52:17.941Z
buy,9059.5,0.0015,2018-04-24T03:52:17.950Z
buy,9191.16,0.0015,2018-04-24T03:52:17.995Z
buy,9191.16,0.0,2018-04-24T03:52:18.034Z
buy,9125.02,0.0,2018-04-24T03:52:18.058Z
buy,9157.99,0.0015,2018-04-24T03:52:18.066Z
buy,9092.5,0.0015,2018-04-24T03:52:18.070Z
sell,9194.99,0.0,2018-04-24T03:52:18.131Z
sell,9194.94,0.0015,2018-04-24T03:52:18.163Z
buy,9133.62,0.0,2018-04-24T03:52:18.173Z
sell,9195.0,2.001,2018-04-24T03:52:18.198Z
buy,9157.99,0.0,2018-04-24T03:52:18.200Z
buy,9155.01,5.0,2018-04-24T03:52:18.211Z
buy,9125.02,0.0015,2018-04-24T03:52:18.227Z
buy,9059.5,0.0,2018-04-24T03:52:18.244Z
buy,9191.16,0.0015,2018-04-24T03:52:18.259Z
buy,9092.5,0.0,2018-04-24T03:52:18.296Z
buy,9190.0,3.51374836,2018-04-24T03:52:18.304Z
buy,9157.99,0.0015,2018-04-24T03:52:18.336Z
buy,9125.02,0.0,2018-04-24T03:52:18.341Z
buy,9191.16,0.0,2018-04-24T03:52:18.342Z
buy,9059.5,0.0015,2018-04-24T03:52:18.345Z
buy,9157.99,0.0,2018-04-24T03:52:18.364Z
buy,9092.5,0.0015,2018-04-24T03:52:18.394Z
sell,9234.97,0.0,2018-04-24T03:52:18.403Z
sell,9228.89,5.0,2018-04-24T03:52:18.417Z
buy,9059.5,0.0,2018-04-24T03:52:18.445Z
buy,9157.99,0.0015,2018-04-24T03:52:18.451Z
buy,9191.16,0.0015,2018-04-24T03:52:18.502Z
buy,9092.5,0.0,2018-04-24T03:52:18.521Z
buy,9157.99,0.0,2018-04-24T03:52:18.545Z
buy,9059.5,0.0015,2018-04-24T03:52:18.554Z
buy,9191.16,0.0,2018-04-24T03:52:18.594Z
buy,9125.02,0.0015,2018-04-24T03:52:18.609Z
buy,9059.5,0.0,2018-04-24T03:52:18.628Z
buy,9191.16,0.0015,2018-04-24T03:52:18.659Z
buy,9125.02,0.0,2018-04-24T03:52:18.690Z
buy,9157.99,0.0015,2018-04-24T03:52:18.772Z
buy,9191.16,0.0,2018-04-24T03:52:18.775Z
buy,9059.5,0.0015,2018-04-24T03:52:18.779Z
buy,9157.99,0.0,2018-04-24T03:52:18.784Z
buy,9125.02,0.0015,2018-04-24T03:52:18.787Z
buy,9125.02,0.0,2018-04-24T03:52:18.891Z
sell,9196.03,0.0,2018-04-24T03:52:18.897Z
buy,9190.0,3.51506836,2018-04-24T03:52:18.922Z
buy,9191.16,0.0015,2018-04-24T03:52:18.927Z
buy,9157.99,0.0015,2018-04-24T03:52:18.933Z
buy,9191.16,0.0,2018-04-24T03:52:19.019Z
buy,9157.99,0.0,2018-04-24T03:52:19.041Z
buy,9125.02,0.0015,2018-04-24T03:52:19.050Z
buy,9092.5,0.0015,2018-04-24T03:52:19.053Z
buy,9125.02,0.0,2018-04-24T03:52:19.182Z
buy,9191.16,0.0015,2018-04-24T03:52:19.224Z
buy,9157.99,0.0015,2018-04-24T03:52:19.226Z
buy,9191.16,0.0,2018-04-24T03:52:19.300Z
buy,9157.99,0.0,2018-04-24T03:52:19.316Z
buy,9125.02,0.0015,2018-04-24T03:52:19.370Z
buy,9092.5,0.0,2018-04-24T03:52:19.384Z
buy,9191.16,0.0015,2018-04-24T03:52:19.392Z
buy,9125.02,0.0,2018-04-24T03:52:19.438Z
buy,9157.99,0.0015,2018-04-24T03:52:19.462Z
buy,9190.0,3.51374836,2018-04-24T03:52:19.469Z
buy,9157.99,0.0,2018-04-24T03:52:19.500Z
buy,9191.16,0.0,2018-04-24T03:52:19.521Z
buy,9092.5,0.0015,2018-04-24T03:52:19.529Z
buy,9125.02,0.0015,2018-04-24T03:52:19.556Z
buy,9092.5,0.0,2018-04-24T03:52:19.625Z
buy,9191.16,0.0015,2018-04-24T03:52:19.681Z
buy,9157.99,0.0015,2018-04-24T03:52:19.697Z
buy,9190.0,3.56574618,2018-04-24T03:52:19.789Z
