side,price,size,time
buy,9208.65,7.085357000000001,2018-04-24T04:24:00.702Z
sell,9212.0,0.0025,2018-04-24T04:24:00.704Z
buy,9208.64,26.46136469,2018-04-24T04:24:00.722Z
buy,9208.64,25.14742755,2018-04-24T04:24:00.728Z
buy,9208.65,15.785357000000001,2018-04-24T04:24:00.733Z
buy,9066.09,0.0,2018-04-24T04:24:00.769Z
buy,9208.65,17.086357,2018-04-24T04:24:00.776Z
buy,9165.01,0.0015,2018-04-24T04:24:00.779Z
sell,9229.85,0.0,2018-04-24T04:24:00.780Z
sell,9208.66,1.4331433,2018-04-24T04:24:00.783Z
buy,9132.01,0.0015,2018-04-24T04:24:00.785Z
sell,9229.86,0.9,2018-04-24T04:24:00.789Z
buy,9099.11,0.0015,2018-04-24T04:24:00.792Z
buy,9208.65,18.056357000000002,2018-04-24T04:24:00.793Z
sell,9217.57,0.0,2018-04-24T04:24:00.807Z
sell,9213.65,0.0,2018-04-24T04:24:00.813Z
buy,9208.65,18.08758948,2018-04-24T04:24:00.820Z
buy,9197.37,0.0015,2018-04-24T04:24:00.825Z
buy,8949.49,0.0,2018-04-24T04:24:00.873Z
buy,8949.18,0.1,2018-04-24T04:24:00.875Z
sell,9213.66,0.16793621,2018-04-24T04:24:00.911Z
sell,9240.98,0.035,2018-04-24T04:24:01.036Z
buy,9208.64,24.92595755,2018-04-24T04:24:01.193Z
buy,8949.18,0.0,2018-04-24T04:24:01.235Z
buy,8948.95,0.1,2018-04-24T04:24:01.250Z
sell,9340.66,0.0,2018-04-24T04:24:01.305Z
buy,9028.99,0.0,2018-04-24T04:24:01.393Z
buy,9029.01,0.001,2018-04-24T04:24:01.400Z
buy,9029.0,0.057,2018-04-24T04:24:01.524Z
buy,9208.65,21.08758948,2018-04-24T04:24:01.620Z
buy,9197.37,0.0,2018-04-24T04:24:01.630Z
buy,9165.01,0.0,2018-04-24T04:24:01.652Z
buy,9132.01,0.0,2018-04-24T04:24:01.654Z
buy,9099.12,0.0015,2018-04-24T04:24:01.661Z
buy,9099.12,0.0,2018-04-24T04:24:01.912Z
buy,9099.11,0.0,2018-04-24T04:24:01.914Z
buy,9197.37,0.0015,2018-04-24T04:24:01.965Z
buy,9066.12,0.0015,2018-04-24T04:24:01.969Z
buy,9165.01,0.0015,2018-04-24T04:24:01.972Z
buy,9132.01,0.0015,2018-04-24T04:24:02.016Z
buy,9126.01,0.27275,2018-04-24T04:24:02.021Z
buy,9126.01,0.15154,2018-04-24T04:24:02.025Z
buy,9126.01,0.16913,2018-04-24T04:24:02.033Z
buy,9197.37,0.0,2018-04-24T04:24:02.051Z
sell,9220.19,0.0,2018-04-24T04:24:02.062Z
buy,9165.01,0.0,2018-04-24T04:24:02.075Z
buy,9132.01,0.0,2018-04-24T04:24:02.077Z
sell,9219.94,0.5,2018-04-24T04:24:02.080Z
buy,9099.12,0.0015,2018-04-24T04:24:02.088Z
buy,8951.65,0.1,2018-04-24T04:24:02.157Z
buy,9197.37,0.0015,2018-04-24T04:24:02.292Z
buy,9165.01,0.0015,2018-04-24T04:24:02.296Z
buy,9029.0,0.055999999999999994,2018-04-24T04:24:02.333Z
buy,9029.01,0.0,2018-04-24T04:24:02.336Z
buy,9028.99,0.001,2018-04-24T04:24:02.345Z
buy,9197.37,0.0,2018-04-24T04:24:02.376Z
buy,9165.01,0.0,2018-04-24T04:24:02.398Z
buy,9132.01,0.0015,2018-04-24T04:24:02.407Z
buy,9099.12,0.0,2018-04-24T04:24:02.436Z
buy,9165.01,0.0015,2018-04-24T04:24:02.485Z
buy,9197.37,0.0015,2018-04-24T04:24:02.486Z
buy,9197.37,0.0,2018-04-24T04:24:02.547Z
buy,9132.01,0.0,2018-04-24T04:24:02.567Z
buy,9165.01,0.0,2018-04-24T04:24:02.570Z
buy,9099.12,0.0015,2018-04-24T04:24:02.575Z
buy,9208.65,39.88758948,2018-04-24T04:24:02.577Z
buy,9208.64,6.12595755,2018-04-24T04:24:02.579Z
buy,9183.78,0.0,2018-04-24T04:24:02.608Z
buy,9183.79,0.536045,2018-04-24T04:24:02.617Z
buy,9197.37,0.0015,2018-04-24T04:24:02.618Z
buy,9132.01,0.0015,2018-04-24T04:24:02.631Z
buy,9099.12,0.0,2018-04-24T04:24:02.653Z
buy,9165.01,0.0015,2018-04-24T04:24:02.682Z
sell,9221.55,0.0,2018-04-24T04:24:02.768Z
buy,9197.37,0.0,2018-04-24T04:24:02.802Z
buy,9099.14,0.25130099,2018-04-24T04:24:02.838Z
buy,9066.14,0.0015,2018-04-24T04:24:02.840Z
buy,9151.01,0.01,2018-04-24T04:24:02.858Z
buy,9165.01,0.0,2018-04-24T04:24:02.884Z
buy,9197.37,0.0015,2018-04-24T04:24:02.897Z
buy,9126.01,0.15154,2018-04-24T04:24:02.916Z
buy,9126.01,0.0,2018-04-24T04:24:02.918Z
buy,9126.01,0.10979000000000001,2018-04-24T04:24:02.927Z
buy,9197.37,0.0,2018-04-24T04:24:02.965Z
buy,9028.99,0.0,2018-04-24T04:24:02.992Z
buy,9165.01,0.0015,2018-04-24T04:24:02.994Z
buy,9181.66,0.0,2018-04-24T04:24:03.016Z
buy,9126.01,0.0,2018-04-24T04:24:03.017Z
buy,9126.01,0.10155,2018-04-24T04:24:03.030Z
buy,9099.14,0.24980099,2018-04-24T04:24:03.035Z
buy,9029.01,0.001,2018-04-24T04:24:03.040Z
buy,9197.37,0.0015,2018-04-24T04:24:03.064Z
buy,9132.01,0.0,2018-04-24T04:24:03.082Z
buy,9165.01,0.0,2018-04-24T04:24:03.083Z
buy,9099.14,0.25130099,2018-04-24T04:24:03.091Z
buy,9029.0,0.057,2018-04-24T04:24:03.162Z
buy,9193.16,3.23,2018-04-24T04:24:03.202Z
buy,9197.37,0.0,2018-04-24T04:24:03.231Z
buy,9165.01,0.0015,2018-04-24T04:24:03.265Z
buy,9132.01,0.0015,2018-04-24T04:24:03.286Z
buy,9186.38,0.001,2018-04-24T04:24:03.302Z
buy,9160.22,0.0,2018-04-24T04:24:03.314Z
buy,9165.01,0.0,2018-04-24T04:24:03.346Z
buy,9197.37,0.0015,2018-04-24T04:24:03.421Z
buy,9029.0,0.055999999999999994,2018-04-24T04:24:03.426Z
buy,9029.01,0.0,2018-04-24T04:24:03.442Z
sell,9241.95,0.43,2018-04-24T04:24:03.701Z
buy,9208.65,42.38758948,2018-04-24T04:24:03.702Z
buy,9028.99,0.001,2018-04-24T04:24:03.706Z
buy,9197.37,0.0,2018-04-24T04:24:03.757Z
buy,9165.01,0.0015,2018-04-24T04:24:03.765Z
buy,9029.0,0.057,2018-04-24T04:24:03.776Z
buy,8948.95,0.0,2018-04-24T04:24:03.844Z
buy,8951.65,0.0,2018-04-24T04:24:03.882Z
buy,8948.88,0.1,2018-04-24T04:24:03.886Z
buy,9132.01,0.0,2018-04-24T04:24:03.985Z
buy,9099.14,0.24980099,2018-04-24T04:24:04.010Z
buy,9165.01,0.0,2018-04-24T04:24:04.011Z
