side,price,size,time
buy,9144.26,0.11244000000000001,2018-04-24T04:40:49.111Z
buy,9144.26,0.12043,2018-04-24T04:40:49.201Z
buy,9220.88,8.21710931,2018-04-24T04:40:49.203Z
buy,9183.05,0.01,2018-04-24T04:40:49.205Z
sell,10142.98,0.01,2018-04-24T04:40:49.214Z
buy,9167.01,0.0,2018-04-24T04:40:49.223Z
buy,9135.01,0.001,2018-04-24T04:40:49.243Z
buy,9201.67,0.0,2018-04-24T04:40:49.244Z
buy,9102.69,0.0015,2018-04-24T04:40:49.250Z
sell,9224.98,0.6619,2018-04-24T04:40:49.403Z
buy,9102.67,0.0,2018-04-24T04:40:49.480Z
buy,9069.69,0.0015,2018-04-24T04:40:49.508Z
buy,9135.01,0.0025,2018-04-24T04:40:49.525Z
buy,9102.69,0.0,2018-04-24T04:40:49.545Z
buy,9167.01,0.0015,2018-04-24T04:40:49.569Z
buy,9201.67,0.0015,2018-04-24T04:40:49.575Z
buy,9135.01,0.001,2018-04-24T04:40:49.620Z
buy,9102.69,0.0015,2018-04-24T04:40:49.630Z
buy,9202.0,4.01425682,2018-04-24T04:40:49.636Z
sell,9234.8,0.001,2018-04-24T04:40:49.791Z
buy,9201.67,0.0,2018-04-24T04:40:49.825Z
buy,9167.01,0.0,2018-04-24T04:40:49.843Z
buy,9135.01,0.0025,2018-04-24T04:40:49.851Z
buy,9069.69,0.0,2018-04-24T04:40:49.889Z
sell,9248.26,0.0,2018-04-24T04:40:49.900Z
buy,9201.67,0.0015,2018-04-24T04:40:49.909Z
buy,9183.05,0.0,2018-04-24T04:40:49.921Z
buy,9102.69,0.0,2018-04-24T04:40:49.926Z
sell,9248.18,0.005,2018-04-24T04:40:49.930Z
buy,9167.01,0.0015,2018-04-24T04:40:49.934Z
buy,9201.67,0.0,2018-04-24T04:40:49.984Z
buy,9135.01,0.001,2018-04-24T04:40:49.985Z
buy,9069.69,0.0015,2018-04-24T04:40:49.993Z
buy,9167.01,0.0,2018-04-24T04:40:50.019Z
buy,9102.69,0.0015,2018-04-24T04:40:50.055Z
buy,9069.54,0.0,2018-04-24T04:40:50.079Z
sell,9255.28,0.0,2018-04-24T04:40:50.093Z
buy,9135.01,0.0025,2018-04-24T04:40:50.110Z
buy,9144.26,0.11244000000000001,2018-04-24T04:40:50.111Z
buy,9144.26,0.10544,2018-04-24T04:40:50.113Z
buy,9144.26,0.10173,2018-04-24T04:40:50.114Z
buy,9102.69,0.0,2018-04-24T04:40:50.134Z
buy,9167.01,0.0015,2018-04-24T04:40:50.162Z
buy,9201.67,0.0015,2018-04-24T04:40:50.165Z
buy,9220.88,8.21117279,2018-04-24T04:40:50.403Z
buy,9167.01,0.0,2018-04-24T04:40:50.434Z
buy,9135.01,0.001,2018-04-24T04:40:50.462Z
buy,9201.67,0.0,2018-04-24T04:40:50.466Z
buy,9102.71,0.0015,2018-04-24T04:40:50.469Z
buy,9102.71,0.0,2018-04-24T04:40:50.579Z
buy,9069.71,0.0015,2018-04-24T04:40:50.609Z
buy,9201.67,0.0015,2018-04-24T04:40:50.612Z
buy,9069.58,0.0,2018-04-24T04:40:50.623Z
buy,9167.01,0.0015,2018-04-24T04:40:50.629Z
buy,9135.01,0.0025,2018-04-24T04:40:50.632Z
buy,9201.67,0.0,2018-04-24T04:40:50.693Z
buy,9220.88,8.21710931,2018-04-24T04:40:50.713Z
buy,9102.71,0.0015,2018-04-24T04:40:50.762Z
buy,9135.01,0.001,2018-04-24T04:40:50.765Z
buy,9201.67,0.0015,2018-04-24T04:40:50.804Z
buy,9167.01,0.0,2018-04-24T04:40:50.813Z
buy,9135.01,0.0025,2018-04-24T04:40:50.822Z
sell,9220.89,0.79092293,2018-04-24T04:40:50.857Z
buy,9192.97,0.0,2018-04-24T04:40:51.001Z
sell,9230.44,0.0,2018-04-24T04:40:51.069Z
sell,9230.69,0.5,2018-04-24T04:40:51.072Z
sell,9248.18,0.0,2018-04-24T04:40:51.181Z
sell,9248.08,0.005,2018-04-24T04:40:51.185Z
buy,9183.92,0.01,2018-04-24T04:40:51.186Z
buy,9144.26,0.41755,2018-04-24T04:40:51.188Z
sell,9224.98,0.0,2018-04-24T04:40:51.413Z
sell,9224.3,0.6619,2018-04-24T04:40:51.414Z
buy,9190.95,0.0054,2018-04-24T04:40:51.482Z
buy,9198.81,2.515,2018-04-24T04:40:51.517Z
buy,9170.3,0.0,2018-04-24T04:40:51.619Z
sell,9220.89,0.60113539,2018-04-24T04:40:51.849Z
buy,9102.71,0.0,2018-04-24T04:40:51.859Z
buy,9201.67,0.0,2018-04-24T04:40:51.883Z
buy,9135.01,0.001,2018-04-24T04:40:51.884Z
buy,9069.73,0.0015,2018-04-24T04:40:51.928Z
buy,9167.01,0.0015,2018-04-24T04:40:51.930Z
buy,9102.73,0.0015,2018-04-24T04:40:51.932Z
buy,9220.88,8.21117279,2018-04-24T04:40:51.933Z
sell,9224.3,0.0,2018-04-24T04:40:52.171Z
sell,9224.98,0.6619,2018-04-24T04:40:52.179Z
sell,9232.87,0.001,2018-04-24T04:40:52.193Z
sell,9230.69,0.0,2018-04-24T04:40:52.194Z
sell,9230.44,0.5,2018-04-24T04:40:52.212Z
sell,9248.08,0.0,2018-04-24T04:40:52.254Z
sell,9224.98,0.0,2018-04-24T04:40:52.258Z
buy,9220.88,8.21710931,2018-04-24T04:40:52.259Z
buy,9183.92,0.0,2018-04-24T04:40:52.260Z
sell,9247.98,0.005,2018-04-24T04:40:52.262Z
buy,9202.01,0.015,2018-04-24T04:40:52.265Z
buy,9069.71,0.0,2018-04-24T04:40:52.371Z
buy,9184.94,0.001,2018-04-24T04:40:52.395Z
buy,9201.67,0.0015,2018-04-24T04:40:52.427Z
buy,9167.01,0.0,2018-04-24T04:40:52.430Z
buy,9135.01,0.0025,2018-04-24T04:40:52.434Z
buy,8949.77,0.0,2018-04-24T04:40:52.492Z
sell,9220.89,0.56437289,2018-04-24T04:40:52.496Z
buy,8948.69,0.1,2018-04-24T04:40:52.503Z
buy,8948.83,0.0,2018-04-24T04:40:52.506Z
buy,9198.81,0.0,2018-04-24T04:40:52.508Z
sell,9220.89,0.52705735,2018-04-24T04:40:52.636Z
sell,9220.89,0.41860795,2018-04-24T04:40:52.639Z
sell,9220.89,0.41746942,2018-04-24T04:40:52.642Z
sell,9220.89,0.35971942,2018-04-24T04:40:52.645Z
sell,9220.89,0.35855942,2018-04-24T04:40:52.647Z
sell,9220.89,0.33015047,2018-04-24T04:40:52.651Z
buy,9201.67,0.0,2018-04-24T04:40:52.661Z
sell,9220.89,3.63330233,2018-04-24T04:40:52.666Z
sell,9220.89,3.74175173,2018-04-24T04:40:52.669Z
buy,9196.03,0.0,2018-04-24T04:40:52.672Z
sell,9244.01,0.0,2018-04-24T04:40:52.673Z
sell,9242.17,0.0,2018-04-24T04:40:52.674Z
sell,9239.4,0.9,2018-04-24T04:40:52.675Z
sell,9239.4,0.0,2018-04-24T04:40:52.675Z
buy,9195.97,0.536045,2018-04-24T04:40:52.678Z
sell,9239.34,0.9,2018-04-24T04:40:52.680Z
sell,9239.34,1.8,2018-04-24T04:40:52.681Z
sell,9242.11,0.9,2018-04-24T04:40:52.685Z
sell,9243.95,0.9,2018-04-24T04:40:52.690Z
buy,8298.79,0.0,2018-04-24T04:40:52.804Z
buy,9135.01,0.001,2018-04-24T04:40:52.806Z
buy,9167.01,0.0015,2018-04-24T04:40:52.841Z
sell,9224.98,0.6619,2018-04-24T04:40:52.843Z
buy,9201.67,0.0015,2018-04-24T04:40:52.865Z
sell,9220.89,3.74352173,2018-04-24T04:40:52.867Z
buy,9167.01,0.0,2018-04-24T04:40:52.924Z
buy,9135.01,0.0025,2018-04-24T04:40:52.955Z
buy,9194.22,2.515,2018-04-24T04:40:53.012Z
buy,9201.67,0.0,2018-04-24T04:40:53.102Z
buy,9135.01,0.001,2018-04-24T04:40:53.124Z
buy,9102.73,0.0,2018-04-24T04:40:53.126Z
buy,9102.76,0.0015,2018-04-24T04:40:53.134Z
buy,9069.76,0.0015,2018-04-24T04:40:53.136Z
buy,9069.76,0.0,2018-04-24T04:40:53.204Z
buy,9167.01,0.0015,2018-04-24T04:40:53.213Z
buy,9201.67,0.0015,2018-04-24T04:40:53.227Z
buy,9135.01,0.0025,2018-04-24T04:40:53.230Z
sell,9247.98,0.0,2018-04-24T04:40:53.270Z
buy,9102.76,0.0,2018-04-24T04:40:53.274Z
buy,9167.01,0.0,2018-04-24T04:40:53.292Z
buy,9069.76,0.0015,2018-04-24T04:40:53.303Z
sell,9247.86,0.005,2018-04-24T04:40:53.305Z
buy,9184.84,0.01,2018-04-24T04:40:53.309Z
buy,9201.67,0.0,2018-04-24T04:40:53.342Z
buy,9167.01,0.0015,2018-04-24T04:40:53.358Z
buy,9135.01,0.001,2018-04-24T04:40:53.368Z
buy,9102.76,0.0015,2018-04-24T04:40:53.394Z
buy,9201.67,0.0015,2018-04-24T04:40:53.397Z
buy,9167.01,0.0,2018-04-24T04:40:53.405Z
buy,9135.01,0.0025,2018-04-24T04:40:53.414Z
buy,9220.88,8.21117279,2018-04-24T04:40:53.454Z
buy,9220.88,8.21710931,2018-04-24T04:40:53.798Z
sell,9224.98,0.0,2018-04-24T04:40:53.997Z
buy,9201.67,0.0,2018-04-24T04:40:54.028Z
buy,9167.01,0.0015,2018-04-24T04:40:54.060Z
buy,9135.01,0.001,2018-04-24T04:40:54.182Z
buy,9167.01,0.0,2018-04-24T04:40:54.201Z
sell,10142.98,0.0,2018-04-24T04:40:54.203Z
buy,9102.78,0.0015,2018-04-24T04:40:54.211Z
buy,9102.76,0.0,2018-04-24T04:40:54.228Z
buy,9069.78,0.0015,2018-04-24T04:40:54.234Z
buy,9167.01,0.0015,2018-04-24T04:40:54.283Z
