side,price,size
sell,9251.6,0.0111
sell,9251.97,0.00525585
sell,9252,0.011
sell,9252.18,0.001
sell,9252.6,0.001
sell,9252.61,0.01
sell,9252.7,0.0685
sell,9252.94,0.005
sell,9253,0.001
sell,9253.75,0.015
sell,9254,0.001
sell,9254.23,0.01311213
sell,9254.48,0.56
sell,9254.64,1.5820021
sell,9254.99,0.001
sell,9255,0.001
sell,9255.31,0.001
sell,9255.38,0.001
sell,9255.39,0.001
sell,9255.47,0.01986458
sell,9255.52,0.01656512
sell,9255.6,0.0021
sell,9255.99,0.0015409
sell,9256,0.004
sell,9256.16,0.001
sell,9256.28,5.0011
sell,9256.29,33.28
sell,9257,0.0248
sell,9257.16,9.086
sell,9257.2,0.001
sell,9257.43,0.0011
sell,9257.53,0.055
sell,9257.99,0.225
sell,9258,0.011
sell,9258.51,0.0075
sell,9258.96,0.00173
sell,9258.99,0.015
sell,9259,0.173
sell,9259.38,0.001
sell,9259.39,0.001
sell,9259.6,0.007
sell,9259.84,2.05
sell,9259.98,0.0728
sell,9259.99,0.001
sell,9260,2.78781196
sell,9260.05,0.1899919
sell,9260.1,0.001
sell,9260.28,0.08371637
sell,9260.33,0.49425763
sell,9260.76,0.0101
sell,9261,0.001
sell,9261.19,0.7278
sell,9261.32,0.17018858
sell,9261.38,0.005
sell,9261.39,0.008
sell,9261.6,0.00660793
sell,9262,0.001
sell,9262.43,0.002761
sell,9262.69,0.00247684
sell,9263,0.001
sell,9263.18,0.001
sell,9263.19,15.013744
sell,9263.31,0.001
sell,9263.38,0.001
sell,9263.39,0.002
sell,9264,0.011
sell,9264.24,0.001
sell,9264.29,0.01656512
sell,9264.66,9.8384
sell,9264.99,0.00217798
sell,9265,1.36841855
sell,9265.85,0.015
sell,9266,0.06217893
sell,9266.29,0.1
sell,9266.66,0.001
sell,9267,0.001
sell,9267.02,0.001
sell,9267.38,0.001
sell,9267.39,0.001
sell,9267.5,0.02
sell,9267.58,0.0058
sell,9267.61,0.007
sell,9267.84,0.0321
sell,9268,0.001
sell,9268.16,0.001
sell,9268.43,0.05
