side,price,size
buy,9127.05,0.16044003
buy,9127,0.10124871
buy,9126.69,0.001
buy,9126.62,0.1
buy,9126.13,0.001
buy,9126,0.011
buy,9125.01,0.05
buy,9125,0.3372864
buy,9124,0.001
buy,9123.76,0.015
buy,9123.26,0.01
buy,9123,0.001
buy,9122.85,0.03821165
buy,9122.71,0.1
buy,9122.5,0.005
buy,9122.3,0.6
buy,9122,0.05721586
buy,9121.39,0.008
buy,9121.38,0.005
buy,9121.05,0.001
buy,9121,0.011
buy,9120.34,0.03204366
buy,9120.01,0.001
buy,9120,3.26651893
buy,9119.99,0.015
buy,9119,0.001
buy,9118.88,0.75
buy,9118.57,0.00268819
buy,9118.56,0.03
buy,9118,0.056
buy,9117.82,0.02411548
buy,9117.79,9.094
buy,9117.23,0.1
buy,9117,0.001
buy,9116.89,0.375
buy,9116.82,0.025
buy,9116.28,0.06
buy,9116,0.00464693
buy,9115.88,0.05
buy,9115.82,0.39288374
buy,9115.33,0.002194
buy,9115.25,0.001
buy,9115,0.001
buy,9114.99,0.001
buy,9114.41,0.1
buy,9114.28,0.00530907
buy,9114,0.501
buy,9113.59,0.01
buy,9113.46,0.11956
buy,9113.33,0.05486468
buy,9113,0.001
buy,9112.27,0.01
buy,9112.13,0.011
buy,9112,0.27278132
buy,9111.39,0.028
buy,9111.38,0.005
buy,9111,3.004
buy,9110.88,0.1
buy,9110.41,1
buy,9110,26.83840522
buy,9109.99,0.015
buy,9109,6.16583452
buy,9108.03,0.001
buy,9108,0.001
buy,9107.83,1.83370526
buy,9107.8,0.41924
buy,9107.22,0.1
buy,9107.17,0.00268961
buy,9107.03,0.05996846
buy,9107,2.211
buy,9106.26,0.01
buy,9106,2.64550516
buy,9105.94,0.25
buy,9105.76,0.05
buy,9105.58,8.39981762
buy,9105,2.13347971
buy,9104.55,1.1
buy,9104.1,1
buy,9104.03,0.001
buy,9104,5.101
buy,9103.89,0.063
buy,9103.35,26.2
buy,9103.34,0.025
buy,9103.3,0.03
buy,9103.11,0.1
buy,9103,0.4649
buy,9102,0.43070379
buy,9101.99,0.350299
buy,9101.85,0.0068
buy,9101.79,1.005
buy,9101.58,0.05
buy,9101.39,0.007
buy,9101.06,0.01
buy,9101,1.52268705
buy,9100.78,0.1
buy,9100.15,0.1245
buy,9100.11,0.001
buy,9100.01,0.2909889
buy,9100,56.90942953
buy,9099.98,0.001
buy,9099.14,0.24980099
buy,9099,0.07412259
buy,9098.9,0.01958
buy,9098.11,0.001
buy,9098,0.001
buy,9097.99,0.001
buy,9097.36,0.1
buy,9097.18,0.177
buy,9097.02,0.29238198
buy,9097,0.001
buy,9096.69,0.001
buy,9096.09,0.001
buy,9096.07,0.01
buy,9096,0.131
buy,9095.79,0.00267632
buy,9095,0.026
buy,9094.44,0.05497864
buy,9094,0.001
buy,9093.97,0.02
buy,9093.96,0.05
buy,9093.41,0.1
buy,9093.11,0.001
buy,9093,0.001
buy,9092.5,0.0015
buy,9092.1,3.441
buy,9092.09,0.001
buy,9092,0.001
buy,9091.75,0.5
buy,9091.67,0.00529017
buy,9091,0.001
buy,9090.93,0.066
buy,9090.55,0.1
buy,9090.09,0.001
buy,9090,2.134
buy,9089.62,0.42007
buy,9089,0.1016
buy,9088.88,0.05
buy,9088.59,0.20227582
buy,9088.22,0.016
buy,9088,0.301
buy,9087.81,0.1
buy,9087.63,0.02
buy,9087,0.001
buy,9086.83,0.03
buy,9086.69,0.001
buy,9086.11,0.001
buy,9086,0.091
buy,9085.02,0.22505828
buy,9085,0.3649455
buy,9084.69,0.1
buy,9084.65,0.005
buy,9084.42,0.00267256
buy,9084.25,0.1
buy,9084.15,9.8384
buy,9084.13,0.001
buy,9084,0.001
buy,9083.97,0.07
buy,9083.17,0.02
buy,9083.13,0.001
buy,9083,0.001
buy,9082.78,0.03
buy,9082.09,0.001
buy,9082,0.001
buy,9081,0.001
buy,9080.03,0.1
buy,9080.01,0.001
buy,9080,3.13340318
buy,9079.29,0.94333556
buy,9079,0.1185822
buy,9078.81,0.012
buy,9078.48,0.02
buy,9078.09,0.001
buy,9078,0.001
buy,9077.67,0.1102
buy,9077.58,0.1
buy,9077.51,22.03
buy,9077.29,0.07
buy,9077,0.001
buy,9076,1.021
buy,9075.55,0.05509307
buy,9075.05,0.06521
buy,9075,5.8831392
buy,9074.98,0.001
buy,9074.19,0.001
buy,9074,0.009
buy,9073.91,0.1
buy,9073.37,0.0553818
buy,9073.31,0.001
buy,9073.19,0.03146662
buy,9073.11,0.001
buy,9073.06,0.00534844
buy,9073,0.001
buy,9072.97,0.001
buy,9072.66,0.03
buy,9072.37,0.001
buy,9072,0.11821805
buy,9071.56,0.0018444
buy,9071.47,0.42091
buy,9071,1.001
buy,9070.76,12.33929
buy,9070.12,0.1
buy,9070.03,4.79365632
buy,9070.01,0.03
buy,9070,1.10391804
buy,9069.99,0.44309507
buy,9069.86,0.09812721
buy,9069.05,0.001
buy,9069,0.08129326
buy,9068.41,0.02752397
buy,9068,1.001
buy,9067.08,0.1
buy,9067,1.02182386
