side,price,size
buy,9639.99,0.001
buy,9639,0.0025
buy,9638.33,0.001
buy,9638,0.5
buy,9637.99,0.031
buy,9637.74,0.06863
buy,9637,0.13629722
buy,9636.85,0.16759708
buy,9636.56,0.06615569
buy,9636.39,0.02
buy,9636.06,0.72779036
buy,9636,4
buy,9635.68,0.005
buy,9635.54,1
buy,9635.47,0.001
buy,9635,0.15356352
buy,9634.71,0.042
buy,9634.49,0.00296533
buy,9634.28,1.066
buy,9633.99,0.03
buy,9633.95,0.001
buy,9633.89,0.01
buy,9633.81,0.21
buy,9633.48,0.115
buy,9633.28,3
buy,9633,0.93992963
buy,9632.99,0.001
buy,9631,0.07
buy,9630.86,0.036251
buy,9630.85,0.09128996
buy,9630.18,0.5
buy,9630.1,0.001
buy,9630,6.12042064
buy,9629.99,0.031
buy,9629.5,0.05149701
buy,9629.3,5
buy,9629.29,1.00441633
buy,9628.28,0.002
buy,9628,0.13831552
buy,9627.69,0.001
buy,9627.36,0.051
buy,9627.32,0.015
buy,9627.18,0.01
buy,9627,0.0407
buy,9626.99,0.0015
buy,9626.75,0.68271612
buy,9626,0.02
buy,9625.99,0.03
buy,9625.77,0.00696359
buy,9625.74,0.001
buy,9625.14,0.0211
buy,9625,0.61602727
buy,9624.98,0.009
buy,9624.28,0.002
buy,9623.85,8.68169999
buy,9623.76,0.001
buy,9623.69,0.1
buy,9623.48,0.015
buy,9623.07,1.45866185
buy,9623,0.1
buy,9622.99,0.0015
buy,9622.8,0.03237495
buy,9622.61,0.00553346
buy,9622.45,0.00296233
buy,9622,0.5
buy,9621.99,0.03
buy,9621.95,0.09304852
buy,9621.61,0.001
buy,9621.41,0.23756501
buy,9621,2
buy,9620.69,0.11037229
buy,9620.65,0.5
buy,9620.28,0.002
buy,9620.18,0.25
buy,9620,9.3285939
buy,9619.99,0.001
buy,9619.1,0.06235
buy,9618.99,0.0015
buy,9618.8,0.02
buy,9618.47,0.02022983
buy,9618.44,0.054
buy,9618.14,0.61054059
buy,9618.11,1.689
buy,9618,0.02599
buy,9617.84,0.01
buy,9617.6,0.45565374
buy,9617.58,0.45008868
buy,9617.05,0.0052
buy,9617,0.07
buy,9616.98,0.009
buy,9616.65,3.9120781
buy,9616.4,0.0026
buy,9616.28,0.002
buy,9616.25,0.015
buy,9616.17,0.01
buy,9616,0.46080833
buy,9615.77,0.007
buy,9615.15,0.0015
buy,9615,0.034
buy,9614.99,0.0015
buy,9614.06,0.50119096
buy,9614,0.53518641
buy,9613.81,0.05
buy,9613.78,1
buy,9613.53,0.001
buy,9613,1.91465349
buy,9612.97,0.00145324
buy,9612.28,0.002
buy,9612,0.17
buy,9611.77,0.007
buy,9611.3,0.769
buy,9611.15,0.0015
buy,9611,0.33
buy,9610.99,0.0015
buy,9610.42,0.00294361
buy,9610,1.64921692
buy,9609.99,0.001
buy,9609.98,0.009
buy,9609.04,0.04
buy,9608.69,0.001
buy,9608.01,0.17716036
buy,9607.77,0.007
buy,9607.5,1.0278
buy,9607.15,0.0015
buy,9607,0.083
buy,9606.66,0.05
buy,9606,0.0380002
buy,9605.88,0.05
buy,9605.01,0.310239
buy,9605,2.2132
buy,9603.77,0.007
buy,9603.15,0.0015
buy,9603,0.041
buy,9602.98,0.009
buy,9602.95,0.001
buy,9602.55,0.02403
buy,9602.23,0.07289973
buy,9602.03,0.043
buy,9602,0.041
buy,9601.75,0.001
buy,9601.63,0.05
buy,9601,2.14346687
buy,9600.99,0.05312393
buy,9600.56,0.008024
buy,9600.31,0.001
buy,9600.14,0.02954297
buy,9600.1,0.54490702
buy,9600.01,0.07
buy,9600,20.68110478
buy,9599.91,0.101
buy,9599.77,0.007
buy,9599.15,0.0015
buy,9599,0.03534018
buy,9598.97,0.010418
buy,9598.41,0.00293389
buy,9597.56,0.006
buy,9597.27,0.0011
buy,9597.26,0.02
buy,9596.31,0.001
buy,9596.22,0.44314958
buy,9596.11,0.13693238
buy,9595.98,0.009
buy,9595.76,3
buy,9595,0.02015163
buy,9594.95,0.11955224
buy,9594.8,0.053
buy,9594.55,0.048
buy,9594,0.23486264
buy,9593.7,0.104235
buy,9593.53,0.001
buy,9593.41,0.26444852
buy,9593.21,0.1
buy,9592.78,0.22386658
buy,9592.5,0.01
buy,9592.33,0.10425
buy,9591.83,0.01986
buy,9591,0.25
buy,9590.99,0.08539848
buy,9590.62,3.346
buy,9590.47,0.025
buy,9590.15,0.05
buy,9590,1.91004037
buy,9588.8,0.02
buy,9588.13,0.001
buy,9587.8,0.05
buy,9587,0.04
buy,9586.66,0.5
buy,9586.6,5
buy,9586.41,0.00292422
buy,9586.24,0.1
buy,9586.2,0.052
buy,9586,1.11568954
buy,9585.3,0.0128
buy,9585,1.59449423
buy,9584.68,0.85054612
buy,9584.21,0.001
buy,9584,0.02
buy,9583.8,0.45650003
buy,9583.62,0.02713808
buy,9581.51,0.06970807
buy,9580.99,0.09
buy,9580.69,0.001
buy,9580.56,0.0376
buy,9580.2,0.00259067
buy,9580,6.024988
buy,9579.69,0.001
buy,9578.88,8
buy,9578.18,0.00856412
buy,9577.83,0.015
buy,9577.74,0.185974
buy,9577.69,0.001
buy,9577.65,0.02296
buy,9577.5,0.01
buy,9577,0.0505
buy,9576.51,0.01923
buy,9576.33,0.001
buy,9576,0.005
buy,9575.87,0.00909634
buy,9575.85,3
buy,9575.78,0.13
buy,9575.75,0.158
buy,9575.12,0.00470034
buy,9575.1,0.1
buy,9575.03,0.001
buy,9575,2.05132088
buy,9574.91,0.04691293
buy,9574.43,0.00291649
buy,9574.26,0.124
buy,9574.23,0.001
buy,9574,0.0027
buy,9573.55,0.101
buy,9573.32,0.0541262
buy,9573,2
buy,9572.89,0.001
buy,9572.65,0.01
buy,9572.56,0.00924635
buy,9571.73,0.001
buy,9571,2.8957
buy,9570.59,0.001
buy,9570,0.47229854
buy,9569.89,0.001
buy,9568.83,0.001
buy,9567.83,0.0055
buy,9567.73,0.001
buy,9567.61,0.5
buy,9566.65,0.001
buy,9565.38,0.1
buy,9565.31,0.001
buy,9565.06,0.0737128
buy,9565.01,0.7
buy,9565,2.101
buy,9564.83,0.001
buy,9564.08,3.028
buy,9564,0.3
buy,9563.52,0.00262
buy,9563.33,0.001
buy,9562.81,0.001
buy,9562.46,0.00290452
buy,9562,1.97765225
buy,9561.65,0.001
buy,9561.34,0.002092
buy,9561.21,0.01926
buy,9560.55,0.001
buy,9560,2.26769041
buy,9559.53,0.001
buy,9559.48,0.050225
buy,9559.23,0.1432
buy,9559.03,0.01046164
buy,9558.33,0.001
buy,9557.99,0.0036511
buy,9557.9,0.00172
buy,9557.63,0.001
buy,9557.5,0.00151043
buy,9557.32,0.10930843
buy,9556.61,0.002
buy,9556.24,0.07763184
buy,9556.02,0.25
buy,9555.88,0.05611727
buy,9555.77,0.010001
buy,9555.57,0.00701042
buy,9555.55,0.05
buy,9555.51,0.001
buy,9555.18,0.00468
buy,9555,27.52070525
buy,9554.81,0.10272678
buy,9554.51,0.05233139
buy,9554.31,0.026
buy,9554.27,0.001
buy,9554.01,0.67
buy,9554,0.008
buy,9553.89,0.001
buy,9553,10.4
buy,9552.91,0.05
buy,9552.21,0.001
buy,9552,0.083
buy,9551.9,0.002154
buy,9551.65,0.001
buy,9551.3,0.0665
buy,9551.2,0.02
buy,9551,0.56069
buy,9550.52,0.12
buy,9550.51,0.00810813
buy,9550.15,0.001
buy,9550.08,1
buy,9550.01,0.1
buy,9550,16.53358744
buy,9549.07,0.001
buy,9548.27,0.001
buy,9548.16,0.15
buy,9548,6.2
buy,9547.91,0.005
buy,9547.5,0.01
buy,9547.15,0.001
buy,9546.63,0.001
buy,9546.17,2.0444072
buy,9545.97,0.001
buy,9545.48,0.0180865
buy,9545.36,0.025
buy,9545.23,0.00618109
buy,9545.01,0.008335
buy,9545,0.137569
buy,9544.51,0.001
buy,9544.01,0.0015
buy,9543.83,0.4
buy,9543.7,0.01
buy,9543.59,0.0419
buy,9543.55,1
buy,9543.21,0.001
buy,9542.75,0.06
buy,9542.7,0.00623512
buy,9542.42,0.05
buy,9542.25,0.001
buy,9542,0.5
buy,9541.81,0.75
buy,9541.49,0.001
buy,9541,0.3
buy,9540.61,0.001
buy,9540.03,4
buy,9540,0.03521037
buy,9539.98,0.25
buy,9539.43,0.029282
buy,9539.41,0.015
buy,9539.03,0.01574703
buy,9538.68,0.00958441
buy,9538.57,0.00290075
buy,9538.43,0.001
buy,9538.36,0.001
