side,price,size,time
buy,9187.11,0.0,2018-04-24T04:07:46.316Z
buy,9153.35,0.0,2018-04-24T04:07:46.317Z
buy,9121.14,0.0,2018-04-24T04:07:46.318Z
buy,9055.13,0.0015,2018-04-24T04:07:46.320Z
sell,9329.05,0.0,2018-04-24T04:07:46.339Z
buy,9214.94,6.80388958,2018-04-24T04:07:46.342Z
buy,9214.98,11.17956598,2018-04-24T04:07:46.344Z
buy,9214.98,10.80756598,2018-04-24T04:07:46.346Z
sell,9214.99,5.76546921,2018-04-24T04:07:46.355Z
buy,9214.0,1.1114700000000002,2018-04-24T04:07:46.365Z
buy,9190.09,0.0,2018-04-24T04:07:46.377Z
sell,9233.43,0.9,2018-04-24T04:07:46.378Z
sell,9238.04,0.0,2018-04-24T04:07:46.380Z
sell,9233.43,0.0,2018-04-24T04:07:46.381Z
sell,9296.05,0.0015,2018-04-24T04:07:46.383Z
buy,9088.13,0.0015,2018-04-24T04:07:46.388Z
sell,9233.42,0.9,2018-04-24T04:07:46.390Z
sell,9233.42,1.8,2018-04-24T04:07:46.393Z
sell,9214.99,8.26546921,2018-04-24T04:07:46.395Z
buy,9190.08,0.536045,2018-04-24T04:07:46.396Z
sell,9214.99,5.76546921,2018-04-24T04:07:46.399Z
sell,9236.19,0.0,2018-04-24T04:07:46.400Z
buy,9214.98,10.20056598,2018-04-24T04:07:46.403Z
sell,9236.18,0.9,2018-04-24T04:07:46.408Z
sell,9236.18,0.0,2018-04-24T04:07:46.410Z
sell,9236.19,0.9,2018-04-24T04:07:46.416Z
buy,9055.13,0.0,2018-04-24T04:07:46.442Z
sell,9238.03,0.9,2018-04-24T04:07:46.450Z
sell,9214.99,8.26546921,2018-04-24T04:07:46.454Z
buy,9187.11,0.0015,2018-04-24T04:07:46.459Z
sell,9236.19,0.0,2018-04-24T04:07:46.460Z
buy,9153.35,0.0015,2018-04-24T04:07:46.463Z
buy,9197.51,0.0,2018-04-24T04:07:46.466Z
buy,9121.13,0.0015,2018-04-24T04:07:46.474Z
sell,9236.18,0.9,2018-04-24T04:07:46.476Z
sell,9296.05,0.0,2018-04-24T04:07:46.483Z
sell,9238.03,0.0,2018-04-24T04:07:46.484Z
buy,9197.26,0.5,2018-04-24T04:07:46.487Z
sell,9238.02,0.9,2018-04-24T04:07:46.495Z
sell,9319.74,0.0,2018-04-24T04:07:46.496Z
sell,9263.18,0.0025,2018-04-24T04:07:46.504Z
sell,9275.15,0.12905999999999998,2018-04-24T04:07:46.522Z
sell,9214.99,10.76546921,2018-04-24T04:07:46.525Z
buy,9164.42,0.0,2018-04-24T04:07:46.529Z
buy,9190.08,0.0,2018-04-24T04:07:46.531Z
buy,9190.07,0.536045,2018-04-24T04:07:46.536Z
sell,9219.29,2.33676648,2018-04-24T04:07:46.556Z
buy,9121.13,0.0,2018-04-24T04:07:46.573Z
buy,9187.11,0.0,2018-04-24T04:07:46.575Z
buy,9088.13,0.0,2018-04-24T04:07:46.576Z
buy,9153.35,0.0,2018-04-24T04:07:46.577Z
sell,9263.18,0.001,2018-04-24T04:07:46.578Z
buy,9055.13,0.0015,2018-04-24T04:07:46.582Z
buy,9193.03,0.0,2018-04-24T04:07:46.619Z
sell,9230.13,0.0015,2018-04-24T04:07:46.623Z
sell,9214.99,10.76407921,2018-04-24T04:07:46.624Z
buy,9193.01,0.015,2018-04-24T04:07:46.627Z
sell,9214.99,10.76606921,2018-04-24T04:07:46.633Z
buy,9055.13,0.0,2018-04-24T04:07:46.646Z
buy,9153.35,0.0015,2018-04-24T04:07:46.654Z
buy,9121.13,0.0015,2018-04-24T04:07:46.671Z
sell,9230.13,0.0,2018-04-24T04:07:46.682Z
buy,9088.13,0.0015,2018-04-24T04:07:46.688Z
buy,9214.94,5.71948958,2018-04-24T04:07:46.692Z
buy,9214.05,1.08419,2018-04-24T04:07:46.704Z
sell,9214.99,10.76756921,2018-04-24T04:07:46.718Z
buy,9187.11,0.0015,2018-04-24T04:07:46.760Z
buy,9121.13,0.0,2018-04-24T04:07:46.763Z
buy,9153.35,0.0,2018-04-24T04:07:46.764Z
buy,9055.13,0.0015,2018-04-24T04:07:46.772Z
sell,9214.99,10.76606921,2018-04-24T04:07:46.778Z
buy,9193.01,0.0,2018-04-24T04:07:46.791Z
sell,9329.05,0.0015,2018-04-24T04:07:46.797Z
buy,9193.46,0.025,2018-04-24T04:07:46.799Z
buy,9187.11,0.0,2018-04-24T04:07:46.804Z
buy,9121.13,0.0015,2018-04-24T04:07:46.814Z
sell,9329.05,0.0,2018-04-24T04:07:46.833Z
buy,9214.94,5.70948958,2018-04-24T04:07:46.837Z
sell,9230.13,0.0015,2018-04-24T04:07:46.859Z
buy,9153.35,0.0015,2018-04-24T04:07:46.886Z
buy,9126.01,0.39685,2018-04-24T04:07:46.888Z
buy,9126.01,0.35318,2018-04-24T04:07:46.889Z
buy,9126.01,0.29053,2018-04-24T04:07:46.889Z
buy,9126.01,0.26174000000000003,2018-04-24T04:07:46.891Z
buy,9126.01,0.24598000000000003,2018-04-24T04:07:46.892Z
buy,9212.0,0.001,2018-04-24T04:07:46.892Z
buy,9126.01,0.12214000000000001,2018-04-24T04:07:46.894Z
buy,9126.01,0.10630999999999999,2018-04-24T04:07:46.894Z
buy,9126.01,0.1112,2018-04-24T04:07:46.920Z
buy,9055.13,0.0,2018-04-24T04:07:46.921Z
buy,9187.11,0.0015,2018-04-24T04:07:46.922Z
buy,9214.94,5.26948958,2018-04-24T04:07:46.923Z
sell,9230.13,0.0,2018-04-24T04:07:46.924Z
sell,9263.18,0.0025,2018-04-24T04:07:46.962Z
buy,9214.98,10.35056598,2018-04-24T04:07:46.965Z
sell,9236.21,0.0,2018-04-24T04:07:46.989Z
sell,9263.18,0.001,2018-04-24T04:07:47.017Z
buy,9214.98,10.20056598,2018-04-24T04:07:47.020Z
sell,9263.17,0.0015,2018-04-24T04:07:47.081Z
sell,9241.11,13.0,2018-04-24T04:07:47.083Z
buy,9214.98,10.16056598,2018-04-24T04:07:47.085Z
sell,9229.94,0.0,2018-04-24T04:07:47.085Z
buy,9197.26,0.0,2018-04-24T04:07:47.086Z
sell,9263.17,0.0,2018-04-24T04:07:47.088Z
sell,9229.44,0.5,2018-04-24T04:07:47.098Z
buy,9197.01,0.5,2018-04-24T04:07:47.102Z
buy,9193.46,0.015,2018-04-24T04:07:47.117Z
buy,9193.46,0.025,2018-04-24T04:07:47.149Z
buy,9193.46,0.01,2018-04-24T04:07:47.155Z
buy,9187.11,0.0,2018-04-24T04:07:47.158Z
buy,9197.01,0.0,2018-04-24T04:07:47.159Z
buy,9193.02,0.015,2018-04-24T04:07:47.165Z
buy,9195.26,0.5,2018-04-24T04:07:47.202Z
buy,9088.11,0.0015,2018-04-24T04:07:47.204Z
buy,9121.11,0.0015,2018-04-24T04:07:47.205Z
sell,9229.44,0.0,2018-04-24T04:07:47.206Z
buy,9200.9,0.0,2018-04-24T04:07:47.208Z
buy,9214.98,9.46056598,2018-04-24T04:07:47.209Z
sell,9227.69,0.5,2018-04-24T04:07:47.215Z
buy,9214.98,10.16056598,2018-04-24T04:07:47.229Z
sell,9218.79,4.05,2018-04-24T04:07:47.231Z
buy,9214.98,9.46056598,2018-04-24T04:07:47.233Z
buy,9214.98,10.16593919,2018-04-24T04:07:47.276Z
buy,9193.02,0.0,2018-04-24T04:07:47.312Z
buy,9193.46,0.025,2018-04-24T04:07:47.320Z
buy,8949.57,0.0,2018-04-24T04:07:47.333Z
buy,8949.74,0.0,2018-04-24T04:07:47.335Z
buy,8949.01,0.1,2018-04-24T04:07:47.338Z
buy,9088.11,0.0,2018-04-24T04:07:47.340Z
buy,9187.11,0.0015,2018-04-24T04:07:47.349Z
buy,9168.17,5.3,2018-04-24T04:07:47.350Z
buy,9055.11,0.0015,2018-04-24T04:07:47.352Z
sell,9227.69,0.0,2018-04-24T04:07:47.394Z
buy,9195.26,0.0,2018-04-24T04:07:47.395Z
buy,9121.11,0.0,2018-04-24T04:07:47.401Z
sell,9227.44,0.5,2018-04-24T04:07:47.412Z
buy,9195.01,0.5,2018-04-24T04:07:47.415Z
buy,9088.11,0.0015,2018-04-24T04:07:47.429Z
buy,9187.11,0.0,2018-04-24T04:07:47.453Z
buy,9196.88,0.0,2018-04-24T04:07:47.471Z
buy,9121.13,0.0,2018-04-24T04:07:47.473Z
buy,9121.11,0.0015,2018-04-24T04:07:47.481Z
buy,9195.01,0.0,2018-04-24T04:07:47.489Z
buy,9088.11,0.0,2018-04-24T04:07:47.500Z
buy,9195.26,0.5,2018-04-24T04:07:47.506Z
sell,9253.98,0.0,2018-04-24T04:07:47.517Z
buy,9187.11,0.0015,2018-04-24T04:07:47.531Z
sell,9214.99,27.66606921,2018-04-24T04:07:47.572Z
sell,9233.42,0.9,2018-04-24T04:07:47.578Z
sell,9236.18,0.0,2018-04-24T04:07:47.580Z
sell,9223.81,0.00135502,2018-04-24T04:07:47.588Z
sell,9233.42,0.0,2018-04-24T04:07:47.589Z
sell,9238.02,0.0,2018-04-24T04:07:47.590Z
sell,9236.17,0.9,2018-04-24T04:07:47.594Z
sell,9233.41,0.9,2018-04-24T04:07:47.595Z
buy,9121.11,0.0,2018-04-24T04:07:47.596Z
sell,9233.41,1.8,2018-04-24T04:07:47.598Z
sell,9238.01,0.91656512,2018-04-24T04:07:47.600Z
buy,9196.38,1.49797954,2018-04-24T04:07:47.601Z
buy,9153.35,0.0,2018-04-24T04:07:47.611Z
buy,9088.11,0.0015,2018-04-24T04:07:47.621Z
buy,9187.11,0.0,2018-04-24T04:07:47.635Z
sell,9214.99,27.66407921,2018-04-24T04:07:47.653Z
sell,9214.99,27.66590921,2018-04-24T04:07:47.699Z
buy,9107.8,0.23015,2018-04-24T04:07:47.730Z
buy,9121.11,0.0015,2018-04-24T04:07:47.732Z
buy,9126.01,0.00489,2018-04-24T04:07:47.734Z
buy,9126.01,0.0,2018-04-24T04:07:47.735Z
buy,9055.11,0.0,2018-04-24T04:07:47.737Z
buy,9107.8,0.30298,2018-04-24T04:07:47.740Z
buy,9214.05,0.0,2018-04-24T04:07:47.741Z
buy,9071.47,0.42091000000000006,2018-04-24T04:07:47.743Z
buy,9211.1,1.08379,2018-04-24T04:07:47.758Z
buy,9153.35,0.0015,2018-04-24T04:07:47.764Z
buy,9187.11,0.0015,2018-04-24T04:07:47.766Z
buy,9121.11,0.0,2018-04-24T04:07:47.777Z
buy,9088.13,0.0,2018-04-24T04:07:47.795Z
buy,9088.11,0.0,2018-04-24T04:07:47.797Z
buy,9055.11,0.0015,2018-04-24T04:07:47.813Z
buy,8293.48,0.01,2018-04-24T04:07:47.816Z
buy,9153.35,0.0,2018-04-24T04:07:47.851Z
buy,9187.11,0.0,2018-04-24T04:07:47.852Z
buy,9121.11,0.0015,2018-04-24T04:07:47.859Z
buy,9107.8,0.23015,2018-04-24T04:07:47.873Z
buy,9107.8,0.29296,2018-04-24T04:07:47.893Z
buy,9088.11,0.0015,2018-04-24T04:07:47.918Z
buy,9212.0,0.00218,2018-04-24T04:07:47.934Z
buy,9055.11,0.0,2018-04-24T04:07:47.944Z
buy,9153.35,0.0015,2018-04-24T04:07:47.965Z
buy,9121.11,0.0,2018-04-24T04:07:47.980Z
buy,9187.11,0.0015,2018-04-24T04:07:48.002Z
buy,9153.35,0.0,2018-04-24T04:07:48.031Z
buy,9088.11,0.0,2018-04-24T04:07:48.048Z
buy,9055.11,0.0015,2018-04-24T04:07:48.056Z
buy,9121.11,0.0015,2018-04-24T04:07:48.080Z
buy,9187.11,0.0,2018-04-24T04:07:48.112Z
buy,9153.35,0.0015,2018-04-24T04:07:48.138Z
buy,9088.11,0.0015,2018-04-24T04:07:48.150Z
buy,9196.38,0.0,2018-04-24T04:07:48.153Z
buy,9193.46,0.015,2018-04-24T04:07:48.155Z
buy,9121.11,0.0,2018-04-24T04:07:48.159Z
buy,9187.11,0.0015,2018-04-24T04:07:48.168Z
buy,9193.46,0.025,2018-04-24T04:07:48.187Z
buy,9182.86,0.0,2018-04-24T04:07:48.202Z
buy,9193.88,1.49838687,2018-04-24T04:07:48.279Z
buy,9088.11,0.0,2018-04-24T04:07:48.304Z
buy,9055.11,0.0,2018-04-24T04:07:48.327Z
buy,9187.11,0.0,2018-04-24T04:07:48.329Z
buy,9153.35,0.0,2018-04-24T04:07:48.330Z
