side,price,size
sell,9752,1.58
sell,9752.12,0.019848
sell,9752.14,0.004
sell,9752.28,0.002
sell,9752.33,0.00331
sell,9752.43,0.01363341
sell,9752.7,0.001
sell,9752.98,0.009
sell,9752.99,0.001
sell,9753,0.01
sell,9753.08,0.0015
sell,9753.48,0.016655
sell,9754,0.017
sell,9754.08,0.001655
sell,9754.21,0.01
sell,9754.65,0.001
sell,9754.69,0.001655
sell,9754.8,0.001
sell,9754.99,0.0015
sell,9755,1.09606898
sell,9755.67,0.86794
sell,9755.84,0.00292055
sell,9755.9,0.001655
sell,9755.99,0.031
sell,9756,0.01
sell,9756.14,0.004
sell,9756.18,0.01363341
sell,9756.28,0.002
sell,9756.48,0.00204251
sell,9757,0.02
sell,9757.08,0.0015
sell,9757.65,0.001
sell,9757.79,0.00931383
sell,9758,0.347
sell,9758.08,0.124
sell,9758.23,0.00957366
sell,9758.99,0.0015
sell,9759,0.01
sell,9759.09,0.00959328
sell,9759.92,0.01363341
sell,9759.97,5
sell,9759.98,0.009
sell,9759.99,0.032
sell,9760,3.460332
sell,9760.14,0.004
sell,9760.28,0.002
sell,9760.52,0.001
sell,9760.65,0.001
sell,9760.98,0.01
sell,9761,10.01
sell,9761.08,0.0015
sell,9761.13,0.01
sell,9761.5,0.04
sell,9761.55,0.01
sell,9762,0.11223
sell,9762.42,0.01175293
sell,9762.59,0.00410353
sell,9762.99,0.0015
sell,9763,0.01
sell,9763.48,0.015
sell,9763.65,0.001
sell,9763.68,0.01363341
sell,9763.98,0.00263
sell,9763.99,0.031
sell,9764,0.01
sell,9764.14,0.004
sell,9764.28,0.003
sell,9764.83,2.591
sell,9765,0.515
sell,9765.08,0.0015
sell,9765.25,0.00901201
sell,9765.46,0.001
sell,9765.62,0.018705
sell,9766,0.098
sell,9766.01,0.6
sell,9766.38,0.0041018
sell,9766.59,0.33182687
sell,9766.62,0.0041017
sell,9766.83,0.0211
sell,9766.98,0.009
sell,9766.99,0.0015
sell,9767,0.01
sell,9767.06,0.02019805
sell,9767.43,0.01363341
sell,9767.5,0.76747
sell,9767.9,0.048953
sell,9767.99,0.031
sell,9768,0.02
sell,9768.05,0.00291684
sell,9768.06,0.00102784
sell,9768.09,0.00740467
sell,9768.14,0.004
sell,9768.18,0.001
sell,9768.28,0.002
sell,9768.37,0.001
sell,9768.78,0.08
sell,9769,0.65303842
sell,9769.08,0.0015
sell,9769.17,0.00815645
sell,9769.63,0.1
sell,9769.65,0.17734739
sell,9769.99,0.001
sell,9770,8.80915058
sell,9770.99,0.0015
sell,9771,0.12097459
sell,9771.08,0.03
sell,9771.18,0.01363341
sell,9771.37,0.001
sell,9771.6,0.00626305
sell,9771.75,0.00316279
sell,9771.82,0.00960801
sell,9771.99,0.031
sell,9772,0.1121
sell,9772.12,0.1
sell,9772.14,0.004
sell,9772.16,0.001659
sell,9772.28,0.002
sell,9772.5,0.32
sell,9772.62,0.01991188
sell,9773,0.26102732
sell,9773.04,0.004099
sell,9773.08,0.0015
sell,9773.23,0.15
sell,9773.48,0.015
sell,9773.76,0.2236054
sell,9773.98,0.009
sell,9774,0.77206967
sell,9774.03,0.02
sell,9774.19,14.51832191
sell,9774.66,0.001
sell,9774.8,0.001
sell,9774.84,0.0036
sell,9774.94,0.01363341
sell,9774.99,0.0115
sell,9775,6.60318953
sell,9775.77,0.006636
sell,9775.99,0.031
sell,9776,0.1203384
sell,9776.14,0.004
sell,9776.28,0.016
sell,9776.44,28.29
sell,9777,1.0010269
sell,9777.62,0.01523
sell,9777.66,0.001
sell,9777.77,0.75
sell,9777.82,0.02
sell,9778,0.097
sell,9778.69,0.01363341
sell,9778.99,0.0015
sell,9779,1.65941207
sell,9779.28,0.7780624
sell,9779.57,0.00102663
sell,9779.68,0.001
sell,9779.99,0.0335
sell,9780,2.99208688
sell,9780.14,0.004
sell,9780.2,0.00951694
sell,9780.27,0.00292366
sell,9780.28,0.002
sell,9780.3,0.05086279
sell,9780.34,0.0041
sell,9780.66,0.001
sell,9780.67,1
sell,9780.81,0.00960814
sell,9780.95,0.01
sell,9780.98,0.009
sell,9781,2.97
sell,9781.08,0.0015
sell,9781.19,0.00102646
sell,9781.4,1.64574122
sell,9781.5,0.001
sell,9781.79,0.0108719
sell,9781.85,0.2561
sell,9782,0.092
sell,9782.42,1
sell,9782.45,0.01363341
sell,9782.99,0.0015
sell,9783,0.22781004
sell,9783.2,0.01999142
sell,9783.38,0.00102623
sell,9783.48,0.015
sell,9783.66,0.001
sell,9783.9,0.105
sell,9783.99,0.031
sell,9784,0.0969579
sell,9784.14,0.004
sell,9784.21,1
sell,9784.28,0.002
sell,9784.39,0.04055261
sell,9784.6,0.021
sell,9785,2.16075413
sell,9785.08,0.003
sell,9785.4,0.01886287
sell,9785.42,1
sell,9785.86,0.00205194
sell,9786,0.5213954
sell,9786.07,0.015
